FileName;Title;Group;ShortName
GSM1254691.CEL;60% Fructose 1;FR;FR.1
GSM1254692.CEL;60% Fructose 2;FR;FR.2
GSM1254693.CEL;60% Fructose 3;FR;FR.3
GSM1254694.CEL;Adjusted Calories 1;AC;AC.1
GSM1254695.CEL;Adjusted Calories 2;AC;AC.2
GSM1254696.CEL;Adjusted Calories 3;AC;AC.3
GSM1254697.CEL;AIN-93M Purified (Control) 1;CT;CT.1
GSM1254698.CEL;AIN-93M Purified (Control) 2;CT;CT.2
GSM1254699.CEL;AIN-93M Purified (Control) 3;CT;CT.3
GSM1254700.CEL;Atherogenic Rodent 1;AR;AR.1
GSM1254701.CEL;Atherogenic Rodent 2;AR;AR.2
GSM1254702.CEL;Atherogenic Rodent 3;AR;AR.3
GSM1254703.CEL;Current LAR Diet 1;LAR;LAR.1
GSM1254704.CEL;Current LAR Diet 2;LAR;LAR.2
GSM1254705.CEL;Current LAR Diet 3;LAR;LAR.3
GSM1254706.CEL;DHA-supplemented 1;DHA;DHA.1
GSM1254707.CEL;DHA-supplemented 2;DHA;DHA.2
GSM1254708.CEL;DHA-supplemented 3;DHA;DHA.3
GSM1254709.CEL;Diet-restriction 1;DR;DR.1
GSM1254710.CEL;Diet-restriction 2;DR;DR.2
GSM1254711.CEL;Diet-restriction 3;DR;DR.3
GSM1254712.CEL;EFA Deficient 1;EFA;EFA.1
GSM1254713.CEL;EFA Deficient 2;EFA;EFA.2
GSM1254714.CEL;EFA Deficient 3;EFA;EFA.3
GSM1254715.CEL;High Fat 1;HF;HF.1
GSM1254716.CEL;High Fat 2;HF;HF.2
GSM1254717.CEL;High Fat 3;HF;HF.3
