Composition;AIN-93Purified;LabChow;HighFructose;HighFat;Western;Atherogenic;EFA Deficient;Low n-3
Fat (g/kg);39.4;41;50;329;209;209;50;67.2
Saturated;6;9;19;151;136;136;50;7.32
MUFA;9.4;11;25;146;66;66;0;12.84
PUFA;24;21;6;32;7;7;0;43.34
n-6:n-3 PUFA;6.7;12;10.4;20.9;6;6;No n-3 or n-6;134.4
Carbohydrates (g/kg);684;402;6–4;271;485;469;665;646
Sucrose (g/kg);107;Very little;0;175;345.6;329.6;660.3;117.1
Fructose (g/kg);0;Very little;600;0;0;0;0;0
Polysaccharide (g/kg);577;majority;4;96;139.4;139.4;4.7;528.9
Cholesterol (mg/kg);28;50;89;54;2,077;13,077;8;40
Protein (g/kg);124;243;183;239;173;173;176;190
Cholic acid (g/kg);0;0;0;0;0;5;0;0
Kcal/g;3.6;3;3.6;5.1;4.5;4.5;3.8;3.8
